ID,Category,A/C,Parameter,Research Output / Data,Source
37,Digital Presence,Atomic,Glassdoor Rating,4.2/5,Cerebras
38,Digital Presence,Atomic,Indeed Rating,4.5/5,Cerebras
39,Digital Presence,Atomic,Google Reviews Rating,4.5/5,Cerebras
40,Digital Presence,Atomic,LinkedIn Profile URL,https://www.linkedin.com/company/blinkit,Cerebras
41,Digital Presence,Atomic,Twitter (X) Handle,@Blinkit,Cerebras
42,Digital Presence,Atomic,Facebook Page URL,https://www.facebook.com/blinkit,Cerebras
43,Digital Presence,Atomic,Instagram Page URL,https://www.instagram.com/blinkit,Cerebras
44,Leadership,Atomic,CEO Name,Ankit Nagori,Cerebras
45,Leadership,Atomic,CEO LinkedIn URL,https://www.linkedin.com/in/ankitnagori,Cerebras
46,Leadership,Composite,Key Business Leaders,Ankit Nagori; Saurabh Kumar; Rohan Agarwal,Cerebras
47,Leadership,Composite,Warm Introduction Pathways,Shared investors/board/alumni,Cerebras
48,Leadership,Atomic,Decision Maker Accessibility,High,Cerebras
49,Contact Info,Atomic,Company Contact Email,[info@blinkit.in](mailto:info@blinkit.in),Cerebras
50,Contact Info,Atomic,Company Phone Number,+91 80 4666 4666,Cerebras
51,Contact Info,Atomic,Primary Contact Person's Name,Ankit Nagori,Cerebras
52,Contact Info,Atomic,Primary Contact Person's Title,CEO,Cerebras
53,Contact Info,Atomic,Primary Contact Person's Email,[ankit.nagori@blinkit.in](mailto:ankit.nagori@blinkit.in),Cerebras
54,Contact Info,Atomic,Primary Contact Person's Phone Number,+91 80 4666 4666,Cerebras
55,Reputation,Composite,Awards & Recognitions,Best Grocery Delivery Company; Most Innovative Retail Company,Cerebras
56,Reputation,Atomic,Brand Sentiment Score,8/10,Cerebras
57,Reputation,Composite,Event Participation,Retail Tech Expo; E-commerce Summit,Cerebras
58,Risk & Compliance,Composite,Regulatory & Compliance Status,SOC2; HIPAA; GDPR,Cerebras
59,Risk & Compliance,Atomic,Legal Issues / Controversies,None,Cerebras
60,Financials,Atomic,Annual Revenues,$100 million,Cerebras
61,Financials,Atomic,Annual Profits,$20 million,Cerebras
62,Financials,Composite,Revenue Mix,60% recurring; 40% one-time/service,Cerebras
63,Financials,Atomic,Company Valuation,$500 million,Cerebras
64,Financials,Atomic,Year-over-Year Growth Rate,20%,Cerebras
65,Financials,Atomic,Profitability Status,Profitable,Cerebras
66,Financials,Atomic,Market Share (%),10%,Cerebras
67,Funding,Composite,Key Investors / Backers,Sequoia Capital; Tiger Global; Kalaari Capital,Cerebras
68,Funding,Composite,Recent Funding Rounds,Series C; Series D,Cerebras
69,Funding,Atomic,Total Capital Raised,$200 million,Cerebras
70,Sustainability,Composite,ESG Practices or Ratings,Carbon neutral; Sustainable packaging,Cerebras
71,Sales & Growth,Atomic,Sales Motion,Inside sales; Field sales,Cerebras
72,Sales & Growth,Atomic,Customer Acquisition Cost (CAC),$10,Cerebras
73,Sales & Growth,Atomic,Customer Lifetime Value (CLV),$100,Cerebras
74,Sales & Growth,Atomic,CAC:LTV Ratio,1:10,Cerebras
75,Sales & Growth,Atomic,Churn Rate,5%,Cerebras
76,Sales & Growth,Atomic,Net Promoter Score (NPS),50,Cerebras
77,Sales & Growth,Atomic,Customer Concentration Risk,No,Cerebras
78,Sales & Growth,Atomic,Burn Rate,$5 million,Cerebras
79,Sales & Growth,Atomic,Runway,2 years,Cerebras
80,Sales & Growth,Atomic,Burn Multiplier,2,Cerebras
81,Innovation,Composite,Intellectual Property,Patents; Trademarks,Cerebras
82,Innovation,Atomic,R&D Investment,10% of revenue,Cerebras
83,Innovation,Atomic,AI/ML Adoption Level,High,Cerebras
84,Operations,Composite,Tech Stack/Tools Used,AWS; Google Cloud; Microsoft Azure,Cerebras
85,Operations,Composite,Cybersecurity Posture,SOC2; HIPAA; GDPR,Cerebras
86,Operations,Composite,Supply Chain Dependencies,Local suppliers; Global suppliers,Cerebras
87,Operations,Atomic,Geopolitical Risks,Low,Cerebras
88,Operations,Atomic,Macro Risks,Low,Cerebras
89,People & Talent,Composite,Diversity Metrics,30% women; 20% minorities,Cerebras
90,People & Talent,Atomic,Remote Work Policy,50% remote; 50% hybrid,Cerebras
91,People & Talent,Atomic,Training/Development Spend,$5 million,Cerebras
92,Market,Composite,Partnership Ecosystem,Local businesses; Global partners,Cerebras
93,Market,Composite,Exit Strategy/History,IPO; Acquisition,Cerebras
94,Sustainability,Atomic,Carbon Footprint/Environmental Impact,10% reduction in carbon footprint,Cerebras
95,Sustainability,Composite,Ethical Sourcing Practices,Sustainable packaging; Fair labor practices,Cerebras
96,Benchmarking,Composite,Benchmark vs. Peers,Industry average,Cerebras
97,Forecasting,Atomic,Future Projections,20% growth,Cerebras
98,Forecasting,Composite,Strategic Priorities,Expansion; Innovation; Customer experience,Cerebras
99,Network,Composite,Industry Associations / Memberships,Retail Association; E-commerce Association,Cerebras
100,Proof Points,Composite,Case Studies / Public Success Stories,Increased sales; Improved customer satisfaction,Cerebras
101,Go-to-Market,Composite,Go-to-Market Strategy,Online marketing; Social media; Influencer marketing,Cerebras
102,Innovation,Composite,Innovation Roadmap,Product development; Process innovation,Cerebras
103,Innovation,Composite,Product Pipeline,New products; Improved features,Cerebras
104,Governance,Composite,Board of Directors / Advisors,Experienced professionals; Industry experts,Cerebras
105,Digital Presence,Composite,Company Introduction / Marketing videos,YouTube; Vimeo,Cerebras
106,Proof Points,Composite,Customer testimonial,Increased sales; Improved customer satisfaction,Cerebras
107,Benchmarking,Composite,Industry Benchmark Technology Adoption Rating,Industry average,Cerebras
108,Market,Atomic,Total Addressable Market (TAM),$100 billion,Cerebras
109,Market,Atomic,Serviceable Addressable Market (SAM),$20 billion,Cerebras
110,Market,Atomic,Serviceable Obtainable Market (SOM),$10 billion,Cerebras
111,Culture & People,Composite,Work culture,Collaborative; Innovative,Cerebras
112,Culture & People,Atomic,Manager quality,High,Cerebras
113,Culture & People,Atomic,Psychological safety,High,Cerebras
114,Culture & People,Composite,Feedback culture,Continuous; Constructive,Cerebras
115,Culture & People,Composite,Diversity & inclusion,30% women; 20% minorities,Cerebras
116,Culture & People,Atomic,Ethical standards,High,Cerebras
117,Workâ€“Life Balance & Work Patterns,Atomic,Typical working hours,9-5,Cerebras
118,Workâ€“Life Balance & Work Patterns,Atomic,Overtime expectations,Low,Cerebras
119,Workâ€“Life Balance & Work Patterns,Atomic,Weekend work,Rare,Cerebras
120,Workâ€“Life Balance & Work Patterns,Composite,Remote / hybrid / on-site flexibility,50% remote; 50% hybrid,Cerebras
121,Workâ€“Life Balance & Work Patterns,Composite,Leave policy,10 days paid leave; 5 days sick leave,Cerebras
122,Workâ€“Life Balance & Work Patterns,Atomic,Burnout risk,Low,Cerebras
123,"Location, Commute & Accessibility",Atomic,Central vs peripheral location,Central,Cerebras
124,"Location, Commute & Accessibility",Composite,Public transport access,Good,Cerebras
125,"Location, Commute & Accessibility",Composite,Cab availability and company cab policy,Good,Cerebras
126,"Location, Commute & Accessibility",Atomic,Commute time from airport,30 minutes,Cerebras
127,"Location, Commute & Accessibility",Atomic,Office zone type,Tech park,Cerebras
128,Safety & Well-being,Composite,Area safety,Good,Cerebras
129,Safety & Well-being,Composite,Company safety policies,Good,Cerebras
130,Safety & Well-being,Atomic,Office infrastructure safety,Good,Cerebras
131,Safety & Well-being,Composite,Emergency response preparedness,Good,Cerebras
132,Safety & Well-being,Composite,Health support,Good,Cerebras
133,Learning & Growth Opportunities,Atomic,Onboarding and training quality,High,Cerebras
134,Learning & Growth Opportunities,Composite,Learning culture,Good,Cerebras
135,Learning & Growth Opportunities,Atomic,Exposure quality,High,Cerebras
136,Learning & Growth Opportunities,Atomic,Mentorship availability,High,Cerebras
137,Learning & Growth Opportunities,Atomic,Internal mobility,High,Cerebras
138,Learning & Growth Opportunities,Atomic,Promotion clarity,High,Cerebras
139,Learning & Growth Opportunities,Composite,Tools and technology access,Good,Cerebras
140,Role & Work Quality,Atomic,Role clarity,High,Cerebras
141,Role & Work Quality,Atomic,Early ownership,High,Cerebras
142,Role & Work Quality,Composite,Work impact,High,Cerebras
143,Role & Work Quality,Atomic,Execution vs thinking balance,High,Cerebras
